set_id,sample_id,student_type,judge_type,raw_score,normalized_score,score_range,reasoning,ground_truth_score,essay_id
1,0,real_student,unsteered,2,0.6666666666666666,"(0, 3)",2,2.0,439
1,1,real_student,unsteered,1,0.3333333333333333,"(0, 3)",1,1.0,571
1,2,real_student,unsteered,3,1.0,"(0, 3)",3,2.0,568
1,3,real_student,unsteered,0,0.0,"(0, 3)",0,2.0,535
1,4,real_student,unsteered,3,1.0,"(0, 3)",3,2.0,1618
1,5,real_student,unsteered,3,1.0,"(0, 3)",3,2.5,136
1,6,real_student,unsteered,2,0.6666666666666666,"(0, 3)",2,1.0,1303
1,7,real_student,unsteered,1,0.3333333333333333,"(0, 3)",1,1.0,71
1,8,real_student,unsteered,2,0.6666666666666666,"(0, 3)",2,2.5,343
1,9,real_student,unsteered,1,0.3333333333333333,"(0, 3)",1,1.0,290
2,10,real_student,unsteered,0,0.0,"(0, 2)",0,1.5,2998
2,11,real_student,unsteered,0,0.0,"(0, 2)",0,2.0,3218
2,12,real_student,unsteered,0,0.0,"(0, 2)",0,2.0,3935
2,13,real_student,unsteered,0,0.0,"(0, 2)",0,0.0,4058
2,14,real_student,unsteered,2,1.0,"(0, 2)",2,2.0,4001
2,15,real_student,unsteered,0,0.0,"(0, 2)",0,1.0,2851
2,16,real_student,unsteered,0,0.0,"(0, 2)",0,2.0,3759
2,17,real_student,unsteered,0,0.0,"(0, 2)",0,2.0,3053
2,18,real_student,unsteered,0,0.0,"(0, 2)",0,1.0,3315
2,19,real_student,unsteered,0,0.0,"(0, 2)",0,1.0,3432
3,20,real_student,unsteered,0,0.0,"(0, 2)",0,1.0,6730
3,21,real_student,unsteered,0,0.0,"(0, 2)",0,0.0,5973
3,22,real_student,unsteered,0,0.0,"(0, 2)",0,1.0,5053
3,23,real_student,unsteered,0,0.0,"(0, 2)",0,1.0,6650
3,24,real_student,unsteered,0,0.0,"(0, 2)",0,1.0,6183
3,25,real_student,unsteered,0,0.0,"(0, 2)",0,2.0,5952
3,26,real_student,unsteered,0,0.0,"(0, 2)",0,0.0,6260
3,27,real_student,unsteered,0,0.0,"(0, 2)",0,1.5,6370
3,28,real_student,unsteered,0,0.0,"(0, 2)",0,0.5,6294
3,29,real_student,unsteered,1,0.5,"(0, 2)",1,1.5,5864
4,30,real_student,unsteered,0,0.0,"(0, 2)",0,2.0,8552
4,31,real_student,unsteered,0,0.0,"(0, 2)",0,0.0,9576
4,32,real_student,unsteered,0,0.0,"(0, 2)",0,2.0,9020
4,33,real_student,unsteered,0,0.0,"(0, 2)",0,1.0,9075
4,34,real_student,unsteered,0,0.0,"(0, 2)",0,0.0,8775
4,35,real_student,unsteered,1,0.5,"(0, 2)",1,1.0,8345
4,36,real_student,unsteered,0,0.0,"(0, 2)",0,0.5,8508
4,37,real_student,unsteered,0,0.0,"(0, 2)",0,1.5,9382
4,38,real_student,unsteered,0,0.0,"(0, 2)",0,1.0,9210
4,39,real_student,unsteered,0,0.0,"(0, 2)",0,1.0,8683
5,40,real_student,unsteered,0,0.0,"(0, 3)",0,0.5,12201
5,41,real_student,unsteered,0,0.0,"(0, 3)",0,1.0,11187
5,42,real_student,unsteered,0,0.0,"(0, 3)",0,0.0,12483
5,43,real_student,unsteered,0,0.0,"(0, 3)",0,0.0,11405
5,44,real_student,unsteered,0,0.0,"(0, 3)",0,0.0,12235
5,45,real_student,unsteered,0,0.0,"(0, 3)",0,0.0,11799
